class,days_elapse,weight_gram
1,38,12.37
1,38,14.25
1,38,14.7
1,38,16.5
1,38,17
1,38,18.5
1,67,13.2
1,67,16.5
1,67,17
1,67,18.8
1,67,19.6
1,81,13.44
1,81,18.15
1,81,18.4
1,81,18.44
1,81,19.08
1,81,20.68
1,81,20.9
1,101,20.3
1,101,21.36
1,148,17.53
1,148,18.96
1,148,21
1,148,23.22
1,185,15.25
1,185,22
1,185,22.25
1,185,22.55
1,193,14.37
1,193,17.55
1,193,18.16
1,193,19.22
1,193,20.08
1,193,20.26
1,193,22.84
1,214,13.94
1,214,20.1
1,233,16.91
1,233,18.59
1,233,19.11
1,233,19.19
1,233,19.5
1,233,19.57
2,67,10.8
2,81,7.6
2,81,8.8
2,81,8.9
2,81,10.3
2,81,10.53
2,101,8.2
2,101,8.21
2,101,8.36
2,101,8.98
2,101,9.41
2,101,9.81
2,101,9.96
2,101,10.07
2,101,10.26
2,185,7.27
2,214,8.5
2,233,9.73
2,233,10.25
3,42,2.69
3,42,8.27
3,42,8.81
3,42,9.8
3,42,9.93
3,42,10.29
3,52,5.22
3,83,4.25
3,98,7.14
3,162,18.28
3,169,18.96
3,180,14.47
3,180,17.83
3,201,9.35
3,201,11.56
3,201,11.56
3,201,14.69
3,201,15.23
3,201,15.49
3,201,16.66
3,201,16.67
3,201,18.45
3,201,18.59
3,204,14.5
3,204,14.91
3,204,16.4
3,204,19.4
3,216,17.81
3,218,12.67
3,219,17.96
3,237,7.28
3,242,15.45
3,252,7.17
3,255,12.94
3,283,13.2
3,283,13.68
3,283,15.4
3,283,15.86
3,283,16.24
3,283,16.38
3,335,14.25
4,52,2
4,52,5.28
4,83,1.29
4,83,1.4
4,83,1.46
4,83,2.28
4,112,1.29
4,112,6.31
4,126,0.89
4,126,1.07
4,165,7.67
4,180,6.59
4,204,6.3
4,219,5.28
4,219,5.75
